Year,Month,Day,Title,Lable,Importance,Desc,Detail,Era
1453,5,3,四维空间接触地球,,0,君士坦丁堡战役中，四维空间翘曲点与地球接触,16时，四维空间翘曲点与地球接触，接触点为正值君士坦丁堡战役的君士坦丁堡，吞掉了奥多修斯北部布拉赫内区的一座清真寺的塔尖。5月28日21时，四维空间翘曲点完全离开地球。,中世纪
1947,6,,叶文洁出生,,0,叶文洁出生于1947年6月,,
1967,,,叶泰哲之死,,0,叶泰哲在批斗会上被打死,留下了崩溃的妻子绍琳和女儿叶文洁。这是叶文洁人生的转折点。,文革时代
1968,,,红岸基地建成,,0,红岸基地（雷达峰）建成,用于搜索地外文明的绝密国防工程。,文革时代
1969,,,叶文洁进入红岸,,1,叶文洁被红岸基地吸收,叶文洁读了《寂静的春天》，帮白沐霖抄写举报信被诬陷，以戴罪立功为由进入红岸基地。,文革时代
1971,,,叶文洁发送信号,,2,叶文洁向太阳发射信号,秋，叶文洁发现太阳是电波放大器，借试发射之机向太阳发射信号，8分钟后信号以光速飞向宇宙。,文革时代
1975,,,三体世界收到信号,,0,1379号监听站收到地球消息,三体文明1379号监听站收到地球的消息，监听员发回了警告信息。,
1979,10,21,收到三体回复,,2,叶文洁收到三体世界警告,10月21日凌晨，收到三体世界的警告回信。清晨，叶文洁回复希望三体来解决人类问题。下午杀死雷志成和杨卫宁。,黄金时代
1980,6,,杨冬出生,,0,叶文洁女儿杨冬出生,1980年6月，杨冬出生。,黄金时代
1982,,,三体舰队启航,,1,三体第一舰队启航,三体第一舰队向着地球的大致方向启航。,
1984,,,智子工程启动,,0,三体制定杀死地球科学的计划,三体文明收到叶文洁回信，确定地球坐标。元首制定染色、神迹、智子工程计划。,
2007,,,危机纪元开始,,0,科学边界与科学家自杀,不到两个月内许多理论物理学家自杀。汪淼看到倒计时，宇宙背景辐射闪烁，ETO聚会，古筝行动夺取三体信息。,危机纪元
2010,,,面壁计划启动,,1,四位面壁者选定,中国太空军成立。特别联大通过117号决议宣布逃亡主义非法。面壁计划启动，罗辑、泰勒、雷迪亚兹、希恩斯成为面壁者。,危机纪元
2015,,,罗辑发出咒语,,0,黑暗森林法则初现,罗辑看到宇宙真相，称黑暗森林法则。感染基因导弹，冬眠前通过太阳向宇宙发射187J3X1恒星坐标。,危机纪元
2205,,,水滴攻击,,0,三体水滴摧毁人类舰队,三体水滴到达太阳系，封死太阳。丁仪考察水滴，水滴启动，几乎全歼人类舰队。只有量子号和青铜时代号逃脱。,危机纪元
2208,,,建立威慑,,0,罗辑建立黑暗森林威慑,罗辑与三体对决，以雪地工程布置的核弹建立威慑。三体接受谈判，解除太阳封锁。罗辑成为执剑人。,
2270,11,28,威慑终结,,0,程心接任执剑人,程心当选执剑人，16分钟后水滴摧毁引力波发射器，威慑终止。万有引力号和蓝色空间号启动引力波广播。,威慑纪元
2274,,,三体世界毁灭,,0,三体星系被光粒摧毁,10月，三体世界被光粒摧毁。云天明通过三个童话故事向程心传递情报。,广播纪元
2400,,,太阳系毁灭,,1,二向箔打击，太阳系二维化,5月19日，程心被唤醒。二向箔使三维空间向二维跌落，太阳系毁灭。程心乘坐星环号逃离。,掩体纪元
