Year,Month,Day,Title,Lable,Importance,Desc,Detail,Era
1690,,,惠更斯《光论》,,0,惠更斯出版《光论》，支持光的波动说,1690年，惠更斯出版《光论》(Traite de la Lumiere)，标志光的波动说达到一个兴盛的顶点。,
1704,,,牛顿《光学》,,1,牛顿出版《光学》，从粒子角度解释光,1704年，牛顿出版《光学》(Opticks)，从粒子角度解释光的种种现象。,
1807,,,光的双缝干涉,,3,托马斯·杨通过光的双缝干涉证明光的波动性,1807年，托马斯·杨出版了《自然哲学讲义》，其中描述了光的双缝干涉实验。,
1819,,,菲涅尔与泊松亮斑,,0,菲涅尔使用波动观点预测泊松亮斑,1819年，菲涅尔论文使用光的波动观点解释了光的衍射问题，泊松发现与其理论一致的圆盘衍射亮斑。,
1850,5,6,光粒子说的死刑,,0,光在水中速度小于真空，宣判光粒子说的死刑,1850年5月6日，傅科测出光在水中的传播速度小于真空中的速度，宣判了光的粒子说的死刑。,
1861,,,光为电磁波的预言,,3,麦克斯韦在预言光只是电磁波的一种,1861年，麦克斯韦在《论物理力线》中预言光其实只是电磁波的一种。,
1885,,,巴尔末公式,,0,巴尔末发现氢原子光谱线的规律,巴尔末发现氢原子光谱线的规律，总结出了巴尔末公式。,
1886,,,迈克尔逊-莫雷实验证明以太失败,实验证明以太失败,0,迈克尔逊-莫雷实验失败，没有证明以太的存在,迈克尔逊-莫雷实验失败，没有证明以太的存在，几乎可以说是否定了牛顿的绝对空间论。,
1887,,,赫兹发现电磁波,,3,赫兹实验证实了电磁波的存在,在赫兹观察电磁波产生的电火花的时候，发现了一个奇怪的现象：当没有光照射到接收器的时候，接收器的电火花所能跨越的最大距离一下子就缩小了。换句话说，没有光照时，两个小球必须靠得更近才能产生火花。假如我们重新让光（特别是高频光）照射接收器，则电火花的出现又变得容易起来。赫兹对此百思不得其解，他自己也不知道，他已经亲手触摸到了“量子”这个还在沉睡的幽灵，虽然还没能将其唤醒，却已经给刚刚到达繁盛的电磁场论安排了一个可怕的诅咒。,
1895,,,伦琴发现X射线,,0,伦琴发现了X射线,伦琴（Wilhelm Konrad Rontgen）发现了X射线。,
1896,,,贝克勒尔发现放射现象,贝克勒尔发现放射,0,贝克勒尔发现了铀元素的放射现象,贝克勒尔（Antoine Herni Becquerel）意外发现了铀元素的放射现象。,
1897,,,J.J.汤姆逊发现电子,,0,J.J.汤姆逊通过研究阴极射线发现电子,J.J.汤姆逊（Joseph John Thomsom）在研究了阴极射线后认为它是一种带负电的粒子流。电子被发现。,
1899,,,卢瑟福发现元素的嬗变现象,卢瑟福发现嬗变,0,,卢瑟福（Ernest Rutherford）发现了元素的嬗变现象。,
1900,4,27,物理学的两朵乌云,,5,开尔文在演讲中提出“物理学的两朵乌云”,"开尔文在演讲《在热和光动力理论上空的19世纪乌云》的第一段说：
“动力学理论断言，热和光都是运动的方式。但现在这一理论的优美性和明晰性却被两朵乌云遮蔽，显得黯然失色了······”（The beauty and clearness of the dynamical theory, which asserts heat and light to be modes of motion, is at present obscured by two clouds...）
第一朵乌云最终导致了相对论革命的爆发。
第二朵乌云最终导致了量子论革命的爆发。",
1900,10,19,普朗克无意中凑出黑体公式,普朗克黑体公式,0,,"1900年10月19日，普朗克用纯数学的方法侥幸拼凑出了普朗克黑体公式。
普朗克经过紧张的几个星期的工作，发现了一个完全意想不到的情况：如果要使这个方程成立，就必须做一个假定：
假定能量在发射和吸收的时候，不是连续不断的，而是分成一份一份的。
正是这个假定，推翻了自牛顿以来200多年，曾被认为是坚不可摧的经典世界。
普朗克发现，能量的传输也必须遵照这种货币式的方法，一次至少要传输一个确定的量，不可以无限细分。能量的传输，必须有一个最小的基本单位，能量只能以这个单位一份份地发出，而不能出现一半或四分之一这种情况。",
1900,12,14,量子的诞辰,,7,普朗克发布了论文，提出“量子”,"普朗克发布了论文《黑体光谱中的能量分布》，其中描述了自己的发现。他将能量的最小单位称为“能量子”（Energieelement），随后又改称其为“量子”（Elementarquantum）。一切的能量传输，都只能以这个量为基本单位，只能传输任意整数个量子。
最小的能量单位：E=h·ν，ν是频率，h是普朗克常数。
一场前所未有的革命已经到来，一场最为反叛和彻底的革命，也是最具有传奇和史诗色彩的革命。一切都是从这个叫作马克斯·普朗克的男人那里开始的。",
1905,3,17,光量子被提出,,3,爱因斯坦提出光量子，解释光电效应,"1905年3月17日，爱因斯坦写出了一篇关于辐射的论文“关于光的产生和转化的一个启发性观点”(A Heuristic Interpretation of the Rediation and Transformation of Light)。
他通过E=h·ν发现，提高频率，正是提高单个量子的能量，而更高能量的量子，正好能够打击出更高能量的电子。提高光强，只是增加量子的数量罢了所以相应的结果自然是打击出更多电子。一切突然显得顺理成章起来。",
1905,6,30,狭义相对论,,7,爱因斯坦发布论文，提出狭义相对论,爱因斯坦发布题为《论运动物体的电动力学》论文，提出狭义相对论。,
1905,9,27,质能方程,,5,爱因斯坦提出质能方程E=mc²,,
1911,10,30,第一届索尔维会议,,3,第一届索尔维会议在布鲁塞尔召开,第一届索尔维会议在比利时布鲁塞尔召开。,
1913,,,电子能级不连续,,0,玻尔提出电子能级不连续,"玻尔在汉森（Hans Marius Hansen）的提示下关注了原子的光谱问题，结果在描述原子光谱问题的巴尔末公式中，玻尔取得了量子论决定性的突破。
巴尔末公式里的n只能是整数，这正是量子化的表述。玻尔做出了推断：电子的能级不是连续而任意的，而是有一定条件。量子化理论必须成为原子理论的主宰。
1913年3月-9月，三篇题为“论原子和分子的构造”、“单原子核体系”和“多原子核体系”被发表。",
1922,,,电子运动方向不连续,电子运动不连续,0,斯特恩-盖拉赫实验证明电子运动方向也不连续,。1922年，奥托·斯特恩（Otto Stern）和沃尔特·盖拉赫（Walther Gerlach）进行了斯特恩-盖拉赫实验，证明电子在空间中的运动方向也是不连续的。,
1923,,,康普顿效应,,0,康普顿效应发现，证明光是量子现象,"1923年，康普顿在研究X射线被自由电子散射的时候，发现散射出来的X射线分为两个部分，一部分和入射射线波长相同，另一部分波长更长。只有用光量子假设，才可以对此现象进行完美解释。
第三次波战争全面爆发。",
1923,-6,,德布罗意波,,0,德布罗意发现电子在前进时会伴随一个波,"1923年，德布罗意发现，电子在前进的时候，本身总是伴随一个波，并将此作为博士论文提交。在博士答辩中，他做出预言，电子在通过一个小孔或晶体的时候，会出现一个可观测的衍射现象。
这是颁发过的含金量最高的学位之一。德布罗意是有史以来第一个仅凭借博士论文就直接获取诺贝尔奖的例子。",
1925,,,泡利不相容原理,,0,泡利不相容原理解释稳定的最外层电子,"对于拥有众多电子的重元素来说，为什么它的一些电子能够长期地占据外层电子轨道，而不会失去能量落到低层轨道上去？
1925年，年轻的泡利对此做出了解答：没有两个电子可以享有同样的状态，而一层轨道能够包容的不同状态数目是有限的。也就是说，一个轨道有一定的容量。当电子填满了一个轨道后，其它电子便无法加入到这个轨道中。这就是“不相容原理”（The Exclusion Principle）",
1925,4,27,海森堡矩阵力学,,5,海森堡基于能量差提出矩阵力学,1925年4月27日，海森堡回到哥廷根。他认为，物理学应该有坚固的基础，只能从一些直接可以被实验观察和检验的东西出发。对于原子光谱能级的问题，我们观测不到能量，只能观测到能量差，因此一切理论应该从能量差中出发进行研究。他基于此，建立起了新的量子力学——矩阵式。（海森堡对“矩阵”这个东西毫不知情，他实际上不知不觉地重新发明了矩阵这个东西。）,
1925,-9,,电子自旋被证明,,0,,1925年秋天，电子自旋被证明。电子的自旋并不能被相像成传统行星的那种自旋，它具有1/2的量子数，也就是说，它要转两圈才露出同一个面孔，这里面的意义只能由数学来把握。,
1927,,,电子波动性被证实,,0,,1927年，戴维逊和革末通过实验精确地证明了电子的波动性。同年，G.P.汤姆逊进一步证明了电子的波动性。,
