Year,Month,Day,Title,Lable,Importance,Desc,Detail,Era
-2070,,,夏朝建立,夏朝建立,5,禹建立夏朝，中国历史上第一个王朝,禹建立夏朝，标志着中国从原始社会进入奴隶社会，是中国历史上第一个世袭制王朝。,上古
-1600,,,商朝建立,商朝建立,5,汤灭夏建立商朝，青铜器文明兴盛,汤灭夏建立商朝，商朝是中国历史上第二个王朝，青铜器文明高度发展，甲骨文出现。,上古
-1046,,,西周建立,西周建立,5,武王伐纣建立西周，分封制确立,周武王姬发伐纣灭商，建立西周，实行分封制和宗法制，奠定了中国古代政治制度基础。,先秦
-770,,,东周开始,东周开始,0,周平王东迁洛邑，春秋战国时期开始,周平王东迁洛邑，东周开始，分为春秋和战国两个时期，礼崩乐坏，诸侯争霸。,先秦
-221,,,秦朝建立,秦朝建立,7,秦始皇统一六国，建立中央集权帝国,秦始皇嬴政灭六国统一中国，废除分封制实行郡县制，统一文字、货币、度量衡，修筑长城。,秦汉
-206,,,西汉建立,西汉建立,5,刘邦击败项羽建立西汉，定都长安,刘邦在楚汉之争中击败项羽，建立西汉王朝，定都长安，实行休养生息政策，开创文景之治。,秦汉
8,,,王莽篡汉,王莽篡汉,0,王莽篡汉建立新朝，西汉灭亡,王莽篡汉建立新朝，推行新政改革，但改革失败引发社会动荡，绿林赤眉起义爆发。,秦汉
25,,,东汉建立,东汉建立,5,刘秀建立东汉，定都洛阳，光武中兴,刘秀击败王莽和各路起义军，建立东汉，定都洛阳，开创光武中兴，东汉延续近两百年。,秦汉
220,,,曹魏建立,曹魏建立,0,曹丕篡汉建立曹魏，东汉灭亡,曹丕逼迫汉献帝禅位，建立曹魏，东汉灭亡，三国时代正式开始。,三国两晋南北朝
221,,,蜀汉建立,蜀汉建立,0,刘备在成都称帝建立蜀汉,刘备在成都称帝，国号汉，史称蜀汉，以兴复汉室为旗帜，诸葛亮辅政。,三国两晋南北朝
229,,,东吴建立,东吴建立,0,孙权称帝建立东吴,孙权在武昌称帝，国号吴，后迁都建业，三国鼎立局面正式形成。,三国两晋南北朝
266,,,西晋建立,西晋建立,5,司马炎篡魏建立西晋,司马炎逼迫魏元帝禅位，建立西晋，后灭东吴统一中国，结束三国分裂局面。,三国两晋南北朝
316,,,西晋灭亡,西晋灭亡,0,匈奴攻破长安，西晋灭亡,匈奴攻破长安，晋愍帝投降，西晋灭亡，司马氏南渡，中国北方进入五胡十六国时期。,三国两晋南北朝
317,,,东晋建立,东晋建立,0,司马睿建立东晋，定都建康,司马睿在建康称帝建立东晋，偏安江南，与北方五胡十六国对峙，门阀政治兴盛。,三国两晋南北朝
420,,,刘宋建立,刘宋建立,0,刘裕篡晋建立刘宋，南朝开始,刘裕逼迫晋恭帝禅位，建立刘宋，南朝开始，南方进入宋齐梁陈四朝更替时期。,三国两晋南北朝
439,,,北魏统一北方,北魏统一,0,北魏统一北方，北朝开始,北魏太武帝拓跋焘统一北方，北朝开始，中国进入南北朝对峙时期。,三国两晋南北朝
581,,,隋朝建立,隋朝建立,5,杨坚建立隋朝，北周灭亡,杨坚逼迫北周静帝禅位，建立隋朝，后灭南陈统一中国，结束近三百年的分裂局面。,隋唐
618,,,唐朝建立,唐朝建立,7,李渊建立唐朝，开启中国古代最辉煌时代,李渊在晋阳起兵，攻入长安建立唐朝，唐朝是中国古代最强盛的朝代之一，开创贞观之治和开元盛世。,隋唐
907,,,唐朝灭亡,唐朝灭亡,0,朱温篡唐建立后梁，五代十国开始,朱温逼迫唐哀帝禅位，建立后梁，唐朝灭亡，中国进入五代十国分裂时期。,五代十国
960,,,北宋建立,北宋建立,5,赵匡胤发动陈桥兵变建立北宋,赵匡胤发动陈桥兵变，黄袍加身建立北宋，定都开封，后逐步统一全国（除辽和西夏）。,宋元
1127,,,南宋建立,南宋建立,0,赵构建立南宋，定都临安,靖康之变后，赵构在南京应天府即位，后定都临安，偏安江南，与金朝对峙。,宋元
1271,,,元朝建立,元朝建立,0,忽必烈建立元朝，定都大都,忽必烈改国号为大元，建立元朝，成为中国历史上第一个由少数民族建立的大一统王朝。,宋元
1279,,,元朝统一中国,元朝统一,7,元军灭南宋，统一中国,元军在崖山海战中击败南宋军队，南宋灭亡，元朝统一中国，结束自唐末以来长期分裂局面。,宋元
1368,,,明朝建立,明朝建立,7,朱元璋建立明朝，推翻元朝统治,朱元璋在应天府称帝建立明朝，后北伐推翻元朝统治，恢复汉人政权，永乐年间迁都北京。,明清
1644,,,清朝入关,清朝入关,0,清军入关定都北京，建立全国性政权,李自成攻陷北京，明朝灭亡，吴三桂引清军入关，清军击败李自成后定都北京，建立全国性政权。,明清
1912,2,12,清朝灭亡,清朝灭亡,5,清帝退位，中国两千多年帝制终结,溥仪颁布退位诏书，清朝灭亡，中国延续两千多年的封建帝制终结。,近代
1912,1,1,中华民国成立,民国成立,0,孙中山就任临时大总统，中华民国成立,孙中山在南京就任中华民国临时大总统，宣告中华民国成立，中国进入共和时代。,近代
1949,10,1,中华人民共和国成立,新中国成立,7,中华人民共和国成立，中国人民站起来,毛泽东在北京天安门宣告中华人民共和国成立，中国人民从此站起来了，中国历史进入新纪元。,现代
1950,10,25,抗美援朝战争开始,抗美援朝,5,中国人民志愿军入朝参战，抗美援朝战争开始,中国人民志愿军跨过鸭绿江入朝参战，与朝鲜人民军共同抗击美国为首的联合国军，保卫新中国安全。,现代
1953,7,27,朝鲜战争停战协定,朝鲜停战,0,朝鲜战争停战协定签署，抗美援朝战争结束,朝鲜战争停战协定在板门店签署，历时三年的抗美援朝战争结束，中国赢得和平发展环境。,现代
1956,,,三大改造完成,三大改造,5,三大改造完成，社会主义制度确立,对农业、手工业和资本主义工商业的社会主义改造基本完成，中国确立社会主义制度，进入社会主义初级阶段。,现代
1966,,,文化大革命开始,文革开始,0,文化大革命开始，中国社会十年动乱,文化大革命开始，中国进入长达十年的动乱时期，国民经济和社会发展遭受严重破坏。,现代
1976,10,6,文化大革命结束,文革结束,0,粉碎四人帮，文化大革命结束,华国锋、叶剑英等采取果断措施粉碎四人帮，持续十年的文化大革命结束，中国进入新的历史时期。,现代
1978,12,18,改革开放开始,改革开放,7,十一届三中全会召开，改革开放开始,十一届三中全会在北京召开，确立以经济建设为中心，开启改革开放伟大征程，中国进入现代化建设新时期。,现代
1997,7,1,香港回归祖国,香港回归,5,中国政府恢复对香港行使主权,中国政府对香港恢复行使主权，香港回归祖国怀抱，一国两制方针成功实践，洗雪百年国耻。,现代
1999,12,20,澳门回归祖国,澳门回归,5,中国政府恢复对澳门行使主权,中国政府对澳门恢复行使主权，澳门回归祖国，结束了葡萄牙在澳门的殖民统治。,现代
2001,12,11,中国加入WTO,加入WTO,0,中国正式加入世界贸易组织,中国正式加入世界贸易组织，全面融入全球经济体系，标志着中国对外开放进入新阶段。,现代
2008,8,8,北京奥运会举办,北京奥运会,0,北京成功举办夏季奥运会,北京成功举办第29届夏季奥林匹克运动会，展示了中国改革开放成就，是中国走向世界的重要标志。,现代
2012,11,8,新时代开始,新时代,5,中共十八大召开，中国特色社会主义进入新时代,中共十八大召开，提出实现中华民族伟大复兴的中国梦，中国特色社会主义进入新时代。,现代
