Year,Month,Day,Title,Lable,Importance,Desc,Detail,Era
-3100,,,古埃及统一,古埃及统一,0,美尼斯统一上下埃及，古埃及王朝开始,美尼斯（那尔迈）统一上下埃及，建立第一王朝，古埃及文明开始，成为世界最早的大一统国家之一。,古代文明
-2334,,,阿卡德帝国建立,阿卡德帝国,0,萨尔贡建立阿卡德帝国，两河流域首次统一,萨尔贡大帝建立阿卡德帝国，统一两河流域，是人类历史上第一个多民族帝国，使用阿卡德语。,古代文明
-1754,,,汉谟拉比法典,汉谟拉比法典,0,古巴比伦颁布汉谟拉比法典，世界最早成文法典,古巴比伦国王汉谟拉比颁布法典，刻于石柱之上，是世界上现存最早的成文法典之一，以眼还眼以牙还牙。,古代文明
-1500,,,雅利安人入印度,雅利安入印度,0,雅利安人进入印度，种姓制度开始形成,雅利安人从西北方进入印度次大陆，征服达罗毗荼人，建立吠陀文明，种姓制度开始形成。,古代文明
-776,,,第一届古代奥运会,古代奥运会,1,希腊举办第一届古代奥林匹克运动会,希腊奥林匹亚举办第一届古代奥林匹克运动会，成为希腊各城邦共同的宗教和体育盛会，四年一届。,古代文明
-509,,,罗马共和国建立,罗马共和国,3,罗马推翻王政建立共和国，元老院掌权,罗马人推翻塔克文王朝，建立罗马共和国，由元老院和执政官共同治理，持续近五百年。,古代文明
-336,,,亚历山大继位,亚历山大继位,0,亚历山大继位，开始东征建立帝国,亚历山大继位马其顿国王，开始十年东征，灭波斯建立地跨欧亚非三大洲的亚历山大帝国。,古代文明
-27,,,罗马帝国建立,罗马帝国,5,屋大维成为奥古斯都，罗马帝国开始,屋大维获得奥古斯都称号，罗马从共和国转变为帝国，开启罗马和平时期，疆域达到最大。,古代文明
79,8,24,维苏威火山爆发,维苏威爆发,0,维苏威火山爆发，庞贝古城被掩埋,维苏威火山爆发，庞贝、赫库兰尼姆等古城被火山灰掩埋，成为研究古罗马生活的重要遗址。,古代文明
313,,,米兰敕令颁布,米兰敕令,0,君士坦丁颁布米兰敕令，基督教合法化,罗马皇帝君士坦丁颁布米兰敕令，承认基督教合法地位，基督教逐渐成为罗马国教。,古代文明
